2025-09-08 01:08:05 | INFO | Logging to file: logs/project_log.log
2025-09-08 01:08:05 | INFO | Log sanitization enabled, personal info will be removed
2025-09-08 01:08:05 | INFO | Log folder created at: logs
2025-09-08 01:08:05 | INFO | Logging to file: logs/project_log.log
2025-09-08 01:08:05.770 | INFO     | utils.utils_logger:<module>:155 - Logging to file: logs/project_log.log
2025-09-08 01:08:05 | INFO | START patient check-in producer...
2025-09-08 01:08:05.789 | INFO     | __main__:main:68 - START patient check-in producer...
2025-09-08 01:08:05 | INFO | Hit CTRL c (or CMD c) to close.
2025-09-08 01:08:05.790 | INFO     | __main__:main:69 - Hit CTRL c (or CMD c) to close.
2025-09-08 01:08:05 | INFO | Messages will be sent every 1 seconds.
2025-09-08 01:08:05.790 | INFO     | __main__:get_message_interval:20 - Messages will be sent every 1 seconds.
2025-09-08 01:08:05 | INFO | Patient Jane Smith is here at the hospital; she is waiting in the lobby.is with the provider.
2025-09-08 01:08:05.791 | INFO     | __main__:main:74 - Patient Jane Smith is here at the hospital; she is waiting in the lobby.is with the provider.
2025-09-08 01:08:06 | INFO | Patient Alex Kim is here at the hospital; they has checked in at the hospital.
2025-09-08 01:08:06.792 | INFO     | __main__:main:74 - Patient Alex Kim is here at the hospital; they has checked in at the hospital.
2025-09-08 01:08:07 | INFO | Patient Alex Kim is here at the hospital; they is waiting in the lobby.is with the provider.
2025-09-08 01:08:07.793 | INFO     | __main__:main:74 - Patient Alex Kim is here at the hospital; they is waiting in the lobby.is with the provider.
2025-09-08 01:08:08 | INFO | Patient David Lee is here at the hospital; he just arrived at the reception desk.
2025-09-08 01:08:08.795 | INFO     | __main__:main:74 - Patient David Lee is here at the hospital; he just arrived at the reception desk.
2025-09-08 01:08:09 | INFO | Patient Jane Smith is here at the hospital; she is waiting in the lobby.is with the provider.
2025-09-08 01:08:09.796 | INFO     | __main__:main:74 - Patient Jane Smith is here at the hospital; she is waiting in the lobby.is with the provider.
2025-09-08 01:08:10 | INFO | Patient Aman Ruth is here at the hospital; he is waiting in the lobby.is with the provider.
2025-09-08 01:08:10.797 | INFO     | __main__:main:74 - Patient Aman Ruth is here at the hospital; he is waiting in the lobby.is with the provider.
2025-09-08 01:08:11 | INFO | Patient Aman Ruth is here at the hospital; he has checked in at the hospital.
2025-09-08 01:08:11.799 | INFO     | __main__:main:74 - Patient Aman Ruth is here at the hospital; he has checked in at the hospital.
2025-09-08 01:08:12 | INFO | Patient John Doe is here at the hospital; he has checked in at the hospital.
2025-09-08 01:08:12.800 | INFO     | __main__:main:74 - Patient John Doe is here at the hospital; he has checked in at the hospital.
2025-09-08 01:08:13 | INFO | Patient David Lee is here at the hospital; he just arrived at the reception desk.
2025-09-08 01:08:13.802 | INFO     | __main__:main:74 - Patient David Lee is here at the hospital; he just arrived at the reception desk.
2025-09-08 01:08:14 | INFO | Patient Mary Johnson is here at the hospital; she completed the registration process.
2025-09-08 01:08:14.803 | INFO     | __main__:main:74 - Patient Mary Johnson is here at the hospital; she completed the registration process.
2025-09-08 01:08:15 | INFO | Patient Alex Kim is here at the hospital; they just arrived at the reception desk.
2025-09-08 01:08:15.805 | INFO     | __main__:main:74 - Patient Alex Kim is here at the hospital; they just arrived at the reception desk.
2025-09-08 01:08:16 | INFO | Patient John Doe is here at the hospital; he is waiting in the lobby.is with the provider.
2025-09-08 01:08:16.806 | INFO     | __main__:main:74 - Patient John Doe is here at the hospital; he is waiting in the lobby.is with the provider.
2025-09-08 01:08:17 | INFO | Patient Mary Johnson is here at the hospital; she completed the registration process.
2025-09-08 01:08:17.807 | INFO     | __main__:main:74 - Patient Mary Johnson is here at the hospital; she completed the registration process.
2025-09-08 01:08:18 | INFO | Patient Alex Kim is here at the hospital; they just arrived at the reception desk.
2025-09-08 01:08:18.808 | INFO     | __main__:main:74 - Patient Alex Kim is here at the hospital; they just arrived at the reception desk.
2025-09-08 01:08:19 | INFO | Patient David Lee is here at the hospital; he completed the registration process.
2025-09-08 01:08:19.809 | INFO     | __main__:main:74 - Patient David Lee is here at the hospital; he completed the registration process.
2025-09-08 01:08:20 | INFO | Patient Aman Ruth is here at the hospital; he just arrived at the reception desk.
2025-09-08 01:08:20.810 | INFO     | __main__:main:74 - Patient Aman Ruth is here at the hospital; he just arrived at the reception desk.
2025-09-08 01:08:21 | INFO | Patient Alex Kim is here at the hospital; they is here for their appointment.
2025-09-08 01:08:21.811 | INFO     | __main__:main:74 - Patient Alex Kim is here at the hospital; they is here for their appointment.
2025-09-08 01:08:22 | INFO | Patient Mary Johnson is here at the hospital; she has checked in at the hospital.
2025-09-08 01:08:22.812 | INFO     | __main__:main:74 - Patient Mary Johnson is here at the hospital; she has checked in at the hospital.
2025-09-08 01:08:23 | INFO | Patient Jane Smith is here at the hospital; she is here for their appointment.
2025-09-08 01:08:23.814 | INFO     | __main__:main:74 - Patient Jane Smith is here at the hospital; she is here for their appointment.
2025-09-08 01:08:24 | INFO | Patient David Lee is here at the hospital; he is waiting in the lobby.is with the provider.
2025-09-08 01:08:24.815 | INFO     | __main__:main:74 - Patient David Lee is here at the hospital; he is waiting in the lobby.is with the provider.
2025-09-08 01:08:25 | INFO | Patient Samantha Brown is here at the hospital; she just arrived at the reception desk.
2025-09-08 01:08:25.816 | INFO     | __main__:main:74 - Patient Samantha Brown is here at the hospital; she just arrived at the reception desk.
2025-09-08 01:08:26 | INFO | Patient Jane Smith is here at the hospital; she completed the registration process.
2025-09-08 01:08:26.817 | INFO     | __main__:main:74 - Patient Jane Smith is here at the hospital; she completed the registration process.
